58,58,58,58,58,58,58,58,58,58,58,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,
33,33,33,33,33,33,33,33,33,18,58,94,95,95,95,95,95,95,95,95,95,95,95,95,95,106,85,85,85,85,
23,23,23,23,23,23,23,23,23,22,58,107,108,108,108,108,108,108,108,108,108,108,108,108,108,84,85,85,85,85,
12,13,13,13,13,13,13,14,23,22,58,117,118,118,118,118,118,118,118,118,118,118,118,118,118,84,85,85,85,85,
22,44,45,45,45,45,46,24,23,22,58,127,128,128,128,128,128,128,128,128,128,128,128,128,128,84,85,85,85,85,
22,54,55,55,55,55,56,9,13,8,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,84,85,85,85,85,
22,54,55,55,55,55,55,45,45,45,45,45,45,45,45,45,45,45,46,58,58,58,58,58,58,84,85,85,85,85,
22,54,55,55,55,55,55,65,65,65,65,65,65,65,65,65,65,55,56,58,58,58,58,58,58,84,85,85,85,85,
22,54,55,55,55,55,56,19,33,18,58,58,58,58,58,58,58,54,56,58,58,58,58,58,58,84,85,85,85,85,
22,64,65,65,65,65,66,24,23,22,58,58,58,58,58,58,58,54,56,58,58,58,58,58,58,84,85,85,85,85,
32,33,33,33,33,33,33,34,23,22,58,58,58,58,58,58,58,54,56,58,58,58,58,58,58,84,85,85,85,85,
23,23,23,23,23,23,23,23,23,22,58,58,58,58,58,58,58,54,55,45,45,45,45,45,45,84,85,85,85,85,
23,23,23,23,23,23,23,23,23,22,58,58,58,58,58,58,58,54,55,65,65,65,65,65,65,84,85,85,85,85,
13,13,13,13,13,13,13,13,13,8,58,58,30,58,58,58,58,54,56,58,58,58,58,58,58,84,85,85,85,85,
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,54,56,58,41,42,42,42,42,84,85,85,85,85,
75,75,75,75,75,75,75,75,75,76,58,58,58,58,58,58,58,54,56,58,51,52,52,52,52,84,85,85,85,85,
85,85,85,85,85,85,85,85,85,124,75,75,75,75,75,76,58,54,56,58,51,52,52,52,52,84,85,85,85,85,
85,85,85,85,85,85,85,85,85,104,95,95,95,95,95,96,58,54,56,58,51,52,52,52,52,84,85,85,85,85,
95,95,95,95,95,95,95,95,95,96,78,78,78,78,78,79,58,54,56,58,61,62,62,62,62,84,85,85,85,85,
78,78,78,78,78,78,78,78,78,79,88,88,88,88,88,89,58,54,56,58,58,58,58,58,58,84,85,85,85,85,
88,88,88,88,88,88,88,88,88,89,98,98,98,98,98,99,58,54,55,45,45,45,45,45,45,84,85,85,85,85,
98,98,98,98,98,98,98,98,98,99,11,11,11,11,11,11,58,64,65,65,65,55,55,65,65,84,85,85,85,85,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,58,58,58,58,58,54,56,21,21,84,85,85,85,85,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,58,58,58,58,58,54,56,21,21,84,85,85,85,85,
11,11,11,11,11,90,80,80,10,80,80,80,90,90,11,90,90,10,90,58,58,54,56,21,21,84,85,85,85,85,
40,40,70,60,20,10,90,90,80,80,10,80,90,10,10,90,90,80,80,58,58,54,56,21,21,84,85,85,85,85,
50,50,70,60,20,80,80,10,80,90,80,80,80,80,80,80,90,10,80,58,58,54,56,21,21,84,85,85,85,85,
20,20,20,20,20,10,80,80,10,90,90,90,10,90,80,10,80,90,10,58,58,54,56,21,21,84,85,85,85,85,
20,20,20,20,20,90,90,90,90,80,80,90,90,80,80,80,80,90,80,58,58,54,56,21,21,84,85,85,85,85,
20,20,20,20,20,80,80,10,80,80,80,10,80,90,90,90,90,90,10,58,58,54,56,21,21,84,85,85,85,85,

0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,40,40,40,40,40,40,40,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,44,65,45,0,0,0,0,0,0,0,0,0,0,0,0,
0,40,40,40,40,40,40,0,0,40,0,40,0,0,0,54,75,55,0,0,0,57,0,0,0,0,0,0,0,0,
40,0,0,0,0,0,0,40,0,40,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,
40,0,0,170,0,0,0,40,40,40,0,0,0,0,0,0,0,72,0,106,0,0,0,0,0,40,0,0,0,0,
40,0,90,91,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,
40,0,100,101,102,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,180,104,126,0,0,40,0,0,0,0,
40,0,0,0,0,0,0,40,40,40,0,0,0,0,0,190,0,0,0,0,190,0,104,0,0,40,0,0,0,0,
40,0,0,0,0,0,0,40,0,40,0,63,0,63,0,50,0,0,0,0,50,0,0,0,0,40,0,0,0,0,
0,40,40,40,40,40,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,
0,0,0,0,0,0,0,0,0,40,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,
0,0,0,0,0,0,0,0,0,40,0,46,47,123,0,180,0,0,0,0,0,0,0,0,0,40,0,0,0,0,
40,40,40,40,40,40,40,40,40,40,0,56,0,0,0,190,0,0,0,0,0,0,0,0,0,40,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,49,47,0,0,50,0,0,0,0,0,0,0,0,0,40,0,0,0,0,
